Content Description	ScOT ID	ScOT Label
AC9ADA10C01	15835	Dance purpose and styles
AC9ADA10C01	16488	Safe dance practices
AC9ADA10C01	2184	Dance
AC9ADA10C01	3702	Dance composition
AC9ADA10C01	4775	Dance motifs
AC9ADA10C02	13536	Eye contact
AC9ADA10C02	15835	Dance purpose and styles
AC9ADA10C02	2184	Dance
AC9ADA10C02	2678	Facial expressions
AC9ADA10C02	3702	Dance composition
AC9ADA10D01	15835	Dance purpose and styles
AC9ADA10D01	16488	Safe dance practices
AC9ADA10D02	15835	Dance purpose and styles
AC9ADA10D02	2184	Dance
AC9ADA10D02	3702	Dance composition
AC9ADA10E01	13164	Aboriginal and Torres Strait Islander peoples
AC9ADA10E01	15835	Dance purpose and styles
AC9ADA10E01	15836	Performance dance
AC9ADA10E01	1962	Cultural awareness
AC9ADA10E01	1979	Audiences
AC9ADA10E01	2184	Dance
AC9ADA10E01	2197	Social dance
AC9ADA10E01	255	Aboriginal peoples
AC9ADA10E01	2612	Rehearsal (Performance)
AC9ADA10E01	273	Culture
AC9ADA10E01	278	Cultural identity
AC9ADA10E01	3077	Movement sequences
AC9ADA10E01	3411	Ritual dance
AC9ADA10E01	353	Torres Strait Islander peoples
AC9ADA10E01	3779	Global citizenship
AC9ADA10E01	4370	Cultural contexts
AC9ADA10E01	4669	Cultural enrichment
AC9ADA10E02	1164	Narratives
AC9ADA10E02	13164	Aboriginal and Torres Strait Islander peoples
AC9ADA10E02	16882	Indigenous cultural and intellectual rights
AC9ADA10E02	16886	Aboriginal dance
AC9ADA10E02	16890	Cultural authority
AC9ADA10E02	16891	Cultural expressions
AC9ADA10E02	16893	Cultural protocols
AC9ADA10E02	16894	Cultural knowledge
AC9ADA10E02	2032	National identity
AC9ADA10E02	2184	Dance
AC9ADA10E02	261	Choreographers
AC9ADA10E02	273	Culture
AC9ADA10E02	278	Cultural identity
AC9ADA10E02	3702	Dance composition
AC9ADA10E02	4671	Cultural imperialism
AC9ADA10P01	13536	Eye contact
AC9ADA10P01	15835	Dance purpose and styles
AC9ADA10P01	16488	Safe dance practices
AC9ADA10P01	1672	Art exhibitions
AC9ADA10P01	2184	Dance
AC9ADA10P01	2612	Rehearsal (Performance)
AC9ADA10P01	2678	Facial expressions
AC9ADA10P01	5912	Exhibits
AC9ADA2C01	15835	Dance purpose and styles
AC9ADA2C01	16488	Safe dance practices
AC9ADA2C01	1979	Audiences
AC9ADA2C01	2184	Dance
AC9ADA2C01	3077	Movement sequences
AC9ADA2C01	3702	Dance composition
AC9ADA2D01	13536	Eye contact
AC9ADA2D01	16488	Safe dance practices
AC9ADA2D01	16530	Fundamental movement skills
AC9ADA2D01	16536	Locomotor skills
AC9ADA2D01	2171	Human movement
AC9ADA2D01	2184	Dance
AC9ADA2D01	2678	Facial expressions
AC9ADA2D01	3077	Movement sequences
AC9ADA2D01	520	Balancing (Motor coordination)
AC9ADA2D01	7981	Non-locomotor movement
AC9ADA2E01	16936	Artistic context
AC9ADA2E01	2184	Dance
AC9ADA2E01	264	Communities
AC9ADA2E01	273	Culture
AC9ADA2E01	3077	Movement sequences
AC9ADA2E01	4370	Cultural contexts
AC9ADA2E02	1164	Narratives
AC9ADA2E02	13164	Aboriginal and Torres Strait Islander peoples
AC9ADA2E02	16882	Indigenous cultural and intellectual rights
AC9ADA2E02	16890	Cultural authority
AC9ADA2E02	16891	Cultural expressions
AC9ADA2E02	16893	Cultural protocols
AC9ADA2E02	16894	Cultural knowledge
AC9ADA2E02	2184	Dance
AC9ADA2E02	273	Culture
AC9ADA2E02	3702	Dance composition
AC9ADA2E02	4671	Cultural imperialism
AC9ADA2P01	16488	Safe dance practices
AC9ADA2P01	1979	Audiences
AC9ADA2P01	3077	Movement sequences
AC9ADA4C01	13536	Eye contact
AC9ADA4C01	15835	Dance purpose and styles
AC9ADA4C01	16488	Safe dance practices
AC9ADA4C01	1979	Audiences
AC9ADA4C01	2184	Dance
AC9ADA4C01	2678	Facial expressions
AC9ADA4C01	3077	Movement sequences
AC9ADA4C01	3654	Storytelling
AC9ADA4C01	3702	Dance composition
AC9ADA4D01	13536	Eye contact
AC9ADA4D01	16488	Safe dance practices
AC9ADA4D01	16530	Fundamental movement skills
AC9ADA4D01	16536	Locomotor skills
AC9ADA4D01	2171	Human movement
AC9ADA4D01	2184	Dance
AC9ADA4D01	2678	Facial expressions
AC9ADA4D01	3077	Movement sequences
AC9ADA4D01	520	Balancing (Motor coordination)
AC9ADA4D01	7981	Non-locomotor movement
AC9ADA4E01	16936	Artistic context
AC9ADA4E01	2184	Dance
AC9ADA4E01	273	Culture
AC9ADA4E01	3077	Movement sequences
AC9ADA4E01	3702	Dance composition
AC9ADA4E01	4370	Cultural contexts
AC9ADA4E02	1164	Narratives
AC9ADA4E02	13164	Aboriginal and Torres Strait Islander peoples
AC9ADA4E02	16882	Indigenous cultural and intellectual rights
AC9ADA4E02	16890	Cultural authority
AC9ADA4E02	16891	Cultural expressions
AC9ADA4E02	16893	Cultural protocols
AC9ADA4E02	16894	Cultural knowledge
AC9ADA4E02	16922	Country (First Nations Australians)
AC9ADA4E02	2184	Dance
AC9ADA4E02	250	Aboriginal art
AC9ADA4E02	252	Australian art
AC9ADA4E02	253	Torres Strait Islander art
AC9ADA4E02	273	Culture
AC9ADA4E02	4190	Themes (Texts)
AC9ADA4E02	4563	Media arts
